小区,经度,纬度,sku
娄山物流园,120.378711,36.223158,0
升平新城东门社区,120.397964,36.175098,1
永安路社区,120.391355,36.178126,12
振华苑社区,120.403395,36.168692,26
北苑风景社区,120.388633,36.172092,4
阳光香蜜湖A区社区,120.40101,36.190008,11
中南世纪城三期社区,120.400939,36.199604,21
帝都嘉园社区,120.39907,36.214552,11
永安路52号院社区,120.3885,36.176969,17
同盛苑社区,120.397491,36.18626,26
永年路洋河蓝色经典社区,120.402197,36.175343,5
兴山路社区,120.388664,36.179977,11
嘉都丽时装社区,120.406928,36.174973,12
四机宿舍社区,120.390716,36.174767,11
湾头馨苑A区社区,120.406162,36.223528,6
升平苑社区,120.404411,36.177862,21
海怡新城锦彩苑社区,120.378793,36.180811,11
国棉八厂宿舍社区,120.377684,36.189354,5
仙家寨馨苑A区社区,120.398734,36.241111,1
中南世纪城一期商业街,120.40289,36.204857,2
东南新苑社区,120.407342,36.165012,6
康太源尚誉社区,120.41612,36.16057,19
保利中央花园社区,120.414889,36.174382,10
虎山花苑D区社区,120.41629,36.170481,7
蓝山湾三期社区,120.408763,36.179842,29
虎山花苑C区社区,120.413909,36.169173,4
印象湾社区,120.417134,36.218479,29
东大顺社区,120.419934,36.171853,8
金水翠园社区,120.410697,36.176437,11
金水龙泽苑14号楼社区,120.408843,36.186767,3
保利香雪东区社区,120.506417,36.16063,12
百通重庆花园社区,120.41025,36.16195,2
湖畔雅居一期社区,120.408877,36.190076,30
印象湾大队长社区,120.419255,36.217113,20
湖畔雅居二期社区,120.40925,36.191917,6
金水路裕丰社区,120.425298,36.176404,1
福顺嘉园社区,120.407491,36.156709,24
警苑新居社区,120.42234,36.173835,36
海尔鼎世华府B区社区,120.41162,36.143429,11
九水社区,120.430877,36.159022,6
东李村社区,120.440703,36.153741,3
苏家社区,120.460701,36.164127,14
中海国际河南社区,120.429702,36.155731,6
福岛社区,120.433798,36.148479,5
福林苑社区,120.42052,36.144139,37
青峰路社区,120.416641,36.157814,10
中海国际南庄社区,120.433486,36.151447,2
惠水和苑社区,120.454411,36.156453,36
福林苑二期社区,120.421789,36.143326,5
福临万家二期北区社区,120.436896,36.149294,17
东城水岸南区社区,120.413185,36.138256,14
海信东山郡社区,120.430254,36.162179,16
天福丽都社区,120.430427,36.169097,50
伟东幸福之城一期社区,120.429397,36.179153,9
麦坡社区,120.44411,36.177989,12
绿城百合花园社区,120.444175,36.175777,7
南王社区,120.485821,36.186618,9
湖山美地社区,120.427301,36.185652,16
上臧家园社区,120.473254,36.186805,10
和达和城社区,120.477312,36.174238,14
绿城蓝庭社区,120.451678,36.170622,22
长涧社区,120.46125,36.179138,2
湖山美地2团社区,120.430997,36.180193,5
上流B区社区,120.502671,36.189286,17
绿城百合花园C1社区,120.443649,36.174507,5
伟东幸福之城二期社区,120.42928,36.17925,6
时代城翡翠赏社区,120.427504,36.193479,21
王埠景苑社区,120.43089,36.195927,39
上王埠一区社区,120.42861,36.188531,15
海尔博悦兰庭新社区,120.483379,36.180858,15
和达景城D区社区,120.475469,36.189596,21
佳兆业水岸新都社区,120.456124,36.26735,41
罗圈涧社区,120.432314,36.209154,37
云头崮村社区,120.43778,36.222147,26
太和村社区,120.447053,36.221082,13
源头社区,120.448743,36.233084,5
王家曹村社区,120.473639,36.295341,9
福林山庄社区,120.469336,36.286785,32
中交阳光屿岸社区,120.445786,36.27969,16
东黄埠社区,120.445692,36.264041,23
泰晤士小镇二期社区,120.49202,36.304345,7
丹山社区,120.426528,36.233464,12
玫瑰园社区,120.42305,36.2745,26
夏庄水岸绿洲社区,120.43676,36.272724,58
景安路社区,120.419731,36.243404,10
前金社区,120.507615,36.313014,32
仟佰墅社区,120.421614,36.270724,46
金日紫都社区,120.39372,36.32368,10
城子东社区,120.371798,36.305669,13
向阳社区,120.422837,36.302808,9
华城路4社区,120.38923,36.308075,8
东田社区,120.438449,36.307001,6
向阳B区社区,120.424143,36.300965,12
前桃林社区,120.421032,36.287369,16
世纪民生社区,120.387327,36.291042,13
前枣杭社区,120.374382,36.320636,7
西郭庄社区,120.410908,36.335988,5
东樱花社区,120.387125,36.297465,6
华侨社区,120.36546,36.312302,7
仁和居东区社区,120.399662,36.3122,8
龙湖悠山郡三期社区,120.428711,36.320596,51
翠竹苑社区,120.389873,36.295369,4
怡景嘉苑社区,120.389248,36.329121,10
龙湖悠山郡一期社区,120.431341,36.320976,30
银盛泰泰馨苑社区,120.381661,36.292051,6
李家女姑社区,120.367237,36.262892,2
后海西社区,120.334763,36.309351,10
西元新城社区,120.355978,36.328179,19
西元庄社区,120.352082,36.331837,85
西元庄四期硕钧苑社区,120.357934,36.325858,10
硕辉苑社区,120.414897,36.374582,1
双埠社区,120.370502,36.231339,20
殷家社区,120.250036,36.223997,8
韩家村社区,120.269666,36.24052,15
小胡埠社区,120.367796,36.265885,4
红岛晓阳社区,120.270258,36.204693,6
苇山社区,120.39631,36.307064,7
赵村社区2,120.374009,36.251203,4
领秀珊瑚湾社区,120.299268,36.286157,22
坊子街社区,120.45983,36.391761,2
大华正信社区,120.460464,36.395896,2
德馨珑湖社区,120.448094,36.369453,4
中交中央公元E区社区,120.457632,36.384454,11
王家官庄社区,120.453079,36.388599,14
龙山办事处社区,120.52048,36.34938,7
东兴家疃社区,120.486325,36.375237,14
东城家园社区,120.440469,36.344458,12
玺公馆社区,120.453229,36.391155,9
锦绣前程瑞苑社区,120.436958,36.346133,6
锦绣前城祥苑社区,120.439393,36.346092,7
建兴社区,120.459205,36.380947,19
信特名苑社区,120.472597,36.399201,1
红盾社区,120.478517,36.402289,52
大华正信西区社区,120.471061,36.394878,11
中交中央公元二期社区,120.46151,36.381147,3
城南小学社区,120.458835,36.378335,1
解家营社区,120.4703,36.401769,2
王家庄社区,120.444373,36.368143,40
中交中央公元D区社区,120.458765,36.381559,8
世纪花苑社区,120.431915,36.396114,14
曼谷阳光社区,120.406718,36.404507,4
永合花园社区,120.42777,36.372983,10
店子社区,120.47,36.38,53
名门世家社区,120.421999,36.387049,12
柘车河村社区,120.358407,36.370141,3
下泊村清华园社区,120.389664,36.383512,3
即墨振华苑社区,120.437055,36.388515,4
西苑社区,120.441144,36.394505,48
赵家岭社区,120.387709,36.352455,41
下泊村社区,120.389663,36.38351,12
夏堤河社区,120.36325,36.35725,13
九九花园社区,120.441677,36.407607,1
即发怡馨苑社区,120.431584,36.407617,16
正大佳源都市社区,120.415643,36.381832,16
银座动感世代社区,120.48617,36.413599,8
万科东郡社区,120.505812,36.414199,25
正信城市花园社区,120.459815,36.408439,3
鑫源明居社区,120.459277,36.439122,7
时代社区,120.452665,36.416839,18
黄家西流新区社区,120.472051,36.415122,8
港临公寓社区,120.477432,36.438271,7
龙山花园社区,120.534036,36.395012,21
宝龙公寓社区,120.455431,36.390819,64
宅子头社区,120.488525,36.399505,8
修家街社区,120.527953,36.457521,17
王家后戈庄社区,120.487308,36.436434,55
华阳社区,120.35119,36.091139,15
金色华山社区,120.528669,36.528139,12
演泉社区,120.486639,36.440483,41
锦绣华隆社区,120.362121,36.318443,9
上海花园社区,120.474524,36.399387,20
裕东新府社区,120.526193,36.40616,5
汉河社区,120.529952,36.156492,60
北龙社区,120.535261,36.118802,24
孙家村社区,120.569235,36.241542,7
北京航空航天大学,120.512398,36.188175,5
上流家园A区社区,120.509142,36.196381,4
东乌衣巷社区,120.549153,36.242568,8
五龙社区,120.527752,36.223914,8
北宅社区,120.535437,36.214917,36
毕家村社区,120.534069,36.235028,10
大崂社区,120.565918,36.242704,12
龙泽书院社区,120.50624,36.163528,13
北宅枣行村社区,120.535437,36.214917,16
北头村英亮超市社区,120.555668,36.234233,21
卧龙社区,120.576182,36.241364,10
海洋大学东区,120.505999,36.162694,3
南龙口社区,120.509925,36.162555,28
常家社区,120.616345,36.282928,20
何家村社区,120.628373,36.294084,6
高家村社区,120.620356,36.27925,18
浦里社区,120.635378,36.306911,3
北宅卫生院社区,120.520592,36.227299,5
江家土寨社区,120.411979,36.109064,30
海信研发中心,120.3947,36.08636,11
五龙涧社区,120.500177,36.221344,11
下葛场村社区,120.546258,36.20285,12
石湾新苑社区,120.520607,36.110088,28
京沪山庄社区,120.532315,36.108648,29
松山后馨苑社区,120.52219,36.142386,8
石老人花园社区,120.495594,36.097485,19
沟崖社区,120.511613,36.176694,16
王家村社区,120.479904,36.101773,12
洪园社区,120.51942,36.189005,3
松竹新苑社区,120.481907,36.113186,13
戴家埠社区,120.535546,36.128908,12
张村社区,120.505209,36.171854,45
于哥庄社区,120.531828,36.124087,6
枯桃社区,120.488124,36.144945,11
彭家庄社区,120.468956,36.107538,14
西登瀛社区,120.562771,36.136634,8
岭西社区,120.541936,36.124579,22
小河东馨苑社区,120.40205,36.123655,4
登瀛村社区,120.578647,36.137502,4
岭西新建社区,120.583472,36.138719,23
庙石村社区,120.59308,36.273993,10
后登瀛社区,120.567313,36.138124,19
沙子口十字路社区,120.539638,36.112186,4
沙子口社区,120.580537,36.137804,13
沙子口十字路社区2,120.539638,36.112186,17
栲栳岛社区,120.568493,36.11607,21
左岸风度北门社区,120.419575,36.125084,25
金岭新村社区,120.463218,36.108913,32
海韵花园社区,120.448782,36.113168,28
鲁信长春花园社区,120.434173,36.100986,96
远洋自然社区,120.422292,36.102618,17
西韩新苑50号楼社区,120.422553,36.126762,7
鲁信含章花园社区,120.429849,36.11442,8
颐景园社区,120.45531,36.088692,14
梅海园社区,120.458442,36.087169,4
青建依山半岛社区,120.477146,36.144535,41
浮山军苑社区,120.451344,36.101326,7
丽都国际社区,120.452051,36.090197,3
中韩街道社区,120.434808,36.130904,9
山东头村社区,120.457901,36.090133,22
西姜哥庄社区,120.528069,36.103387,10
钟和嘉园社区,120.478,36.107,12
湖光山色蹦妈社区,120.427091,36.09823,5
东韩安置社区,120.44381,36.112089,10
青建尚东区社区,120.454872,36.115746,1
孙家下庄中心社区,120.46585,36.12952,15
大张村社区,120.472815,36.140497,2
康城社区,120.458734,36.118743,8
四季景园社区,120.410534,36.113263,8
浮山后四社区,120.418913,36.104343,22
福岭嘉苑社区,120.406351,36.116318,60
泰成玲珑郡社区,120.401213,36.128238,7
新侨花园社区,120.404187,36.117103,32
洛东社区,120.399366,36.140248,11
杨家群丽景苑社区,120.407683,36.115847,5
洪山坡社区,120.401551,36.101515,10
福岭社区,120.401551,36.101515,7
曙光山色社区,120.427518,36.103066,14
夹岭沟社区,120.407269,36.115946,24
保儿东山社区,120.40392,36.119072,31
德馨筑家社区,120.40534,36.131391,5
天怡景园C区社区,120.408897,36.130473,11
天怡景园A区社区,120.411055,36.132695,3
河西紫金园社区,120.405708,36.133876,10
鑫欣家园16号楼社区,120.406102,36.106881,1
美寓天城A区社区,120.412394,36.123026,26
樱花郡社区,120.403751,36.093624,19
萍乡社区,120.372786,36.127298,4
枕海山庄社区,120.40733,36.098675,9
城建鼎都社区,120.400165,36.100122,39
大尧一路社区,120.403823,36.079002,7
麦岛家园社区,120.427484,36.065679,13
善化路军官社区,120.419056,36.06336,1
天山社区,120.405258,36.083749,20
新昌路社区,120.396185,36.084406,25
辛家庄一社区,120.41476,36.06627,10
金门路社区,120.410972,36.069534,36
海林花园社区,120.384097,36.072105,2
江西路社区,120.374738,36.072974,17
海牛花园社区,120.407248,36.080398,15
江西路8号社区,120.370206,36.071877,15
江西路外贸街社区,120.389417,36.07347,6
北海舰队家属院社区,120.357524,36.057477,28
漳州路社区,120.401503,36.070319,44
佛涛路8号社区,120.358304,36.059774,2
上杭路社区,120.410934,36.068119,11
青岛大学东院,120.424179,36.070167,10
远洋新村社区,120.392955,36.079178,30
天台路社区,120.395364,36.082309,49
潜艇学院社区,120.372799,36.07061,53
新岭花园三期社区,120.385607,36.099375,5
敦化路社区,120.368818,36.089078,12
北岭海信社区,120.364119,36.119018,13
错埠岭5社区,120.38665,36.10318,14
荣昌花园社区,120.385253,36.090413,12
恩马山庄社区,120.367291,36.101942,7
南宁路社区,120.369749,36.097358,10
福安社区,120.397163,36.09367,19
温州路社区,120.355989,36.101725,7
宁化路18号社区,120.356201,36.104663,4
中城嘉汇社区,120.393257,36.089935,33
青岛松鼠社区,120.468956,36.107538,2
银华广场社区,120.371879,36.104068,10
兴电社区,120.34905,36.112797,26
南宁路14号院社区,120.362114,36.097079,7
辽阳西路3号社区,120.377868,36.094734,27
居仁社区,120.353201,36.115422,2
南公司南区社区,120.351718,36.105325,32
学府苑社区,120.37091,36.103424,16
万科城多伦多社区2,120.395775,36.117108,15
中治文沁苑社区,120.393935,36.137465,15
水清沟三社区,120.387437,36.133292,25
康顺社区,120.359659,36.099329,83
百通雍翠华苑社区,120.367225,36.124172,19
金华苑社区,120.371528,36.128401,17
小水清沟花园社区,120.393701,36.132418,12
海防培训中心社区,120.363851,36.120698,32
金科星辰社区,120.357952,36.118235,16
山海景园社区,120.358716,36.131955,3
洛阳路25号社区,120.388179,36.141293,20
海滨花园社区,120.369777,36.106118,19
大都汇社区,120.37965,36.12617,16
滨海康城2团社区,120.39751,36.136567,16
海情御园社区,120.370086,36.136936,7
商丘路26号社区,120.388685,36.142589,11
中泰信上景社区,120.36065,36.123239,29
水清新居社区,120.375625,36.137569,8
保利百合花园东区社区,120.363646,36.13192,18
保利里院里社区,120.358309,36.111218,11
海岸锦城社区,120.350119,36.102413,2
海岸馨园社区,120.342028,36.112096,18
小村庄社区,120.365028,36.105758,11
宜昌馨苑社区,120.35099,36.119148,30
宜昌美景社区,120.338185,36.117548,14
兴隆家园社区,120.343536,36.114125,4
湖清路22号社区,120.359616,36.126913,210
秀兰禧悦都社区,120.356377,36.122909,83
阜新社区,120.361402,36.103088,1
海尔世纪公馆社区2,120.391937,36.12353,3
联城海岸锦城社区,120.3476,36.101293,37
兴隆花园社区,120.342913,36.115299,15
海岸馨园2团社区,120.345087,36.104017,15
保利香槟国际社区,120.351764,36.146054,1
瑞海馨园社区,120.35117,36.1467,39
瑞海景园社区,120.343059,36.135814,17
海湾花园社区,120.338346,36.115559,12
吉水路社区,120.36462,36.111729,11
绿地阅海府邸社区,120.354029,36.156119,7
中海蓝庭海汇广场,120.35117,36.1467,3
万科未来城二期社区,120.373779,36.143127,1
温莎郡社区,120.34935,36.147133,16
华能社区,120.343567,36.11541,3
海岸阳光社区,120.340873,36.111162,4
海岸路华融望海社区,120.345666,36.102103,1
辽宁路社区,120.332351,36.082428,14
铁山路社区,120.329849,36.080535,16
金茂湾一期社区,120.299572,36.062804,1
天赐良园社区,120.36483,36.07906,5
兴安路社区,120.339428,36.070614,5
芙蓉山庄社区,120.35582,36.09221,27
航务宿舍社区,120.370871,36.072948,175
大港一路社区,120.335513,36.085367,1
盛世豪庭社区,120.359684,36.091219,15
海逸景园社区,120.319255,36.080352,7
龙江路社区,120.33459,36.065224,54
琴岛山庄社区,120.339508,36.06985,11
超银小学胖胖社区,120.372058,36.083493,34
翠竹园社区,120.346962,36.077566,7
前进嘉苑社区,120.320048,36.082531,10
观象山庄社区,120.325419,36.071637,5
西仲花园社区,120.356325,36.079752,13
瞿塘峡路社区,120.305048,36.05416,5
西康路社区,120.304596,36.05743,9
中山路社区,120.318679,36.07331,22
太平洋心怡公寓,120.40792,36.154644,30
康太源尚誉,120.416901,36.165335,9
1邢台路小区,120.398849,36.186222,55
2海怡新城锦绣苑,120.381375,36.180174,93
2东山郡西区,120.4308,36.16403,7
福顺嘉园,120.406803,36.156447,3
1汾阳路社区,120.377292,36.191211,30
A华泰新苑小区,120.387062,36.187135,5
2百通馨苑,120.434865,36.182531,5
阳光香蜜湖,120.399707,36.192265,6
2西山片区,120.413022,36.156548,24
A绿地香颂,120.409867,36.164269,10
梦境江南社区,120.40562,36.13434,11
1远东海岸华府,120.379007,36.189658,21
2中海国际,120.42756,36.152023,13
兴华苑小区,120.380867,36.186359,2
元顺和苑,120.409471,36.163344,17
德馨筑家,120.406646,36.131888,2
博文干洗店,120.420303,36.164566,4
蓝光coco蜜城,120.412355,36.171373,4
坊子街新禧苑1,120.398676,36.195218,2
虎山花园,120.413909,36.169173,1
滨河家园,120.419898,36.15382,3
和达和成,120.477583,36.174907,14
2万福山庄,120.425038,36.179811,44
1依山小居,120.432263,36.176539,19
万科如园,120.483393,36.17656,20
1福临万家2期东区,120.440297,36.148686,16
2馨苑小区,120.423781,36.177149,35
1伴山银河,120.457823,36.161243,35
青云阁温钰轩茶礼行,120.428727,36.164576,10
万达悦公馆,120.438654,36.163689,6
御城,120.431062,36.154416,8
2金水路裕丰小区,120.425278,36.175368,4
上臧家园,120.473254,36.186805,3
2福临万家,120.42097,36.147197,2
卓越皇后道,120.476626,36.179099,1
恒苑小区,120.406044,36.101184,42
1远洋风景,120.430661,36.106509,15
颐景园小区,120.45531,36.088692,46
海尔东城国际北区,120.439055,36.111422,70
鲁信长春花园1,120.436753,36.101271,4
1埠东新村,120.44539,36.11129,125
A洪山坡小区,120.40236,36.09951,22
2湖光山色北区,120.427892,36.100805,20
2客宜家,120.426123,36.102747,15
湖光山色,120.427436,36.097743,7
和悦蓝庭,120.443092,36.10984,20
北姜佳苑,120.542806,36.114036,13
山水名园,120.498982,36.099569,14
盛世美邦,120.403901,36.098804,2
1王家村,120.488474,36.101156,38
海尔路69号,120.458891,36.097078,8
错埠岭,120.391345,36.10165,9
2石老人花园,120.496028,36.098202,9
石湾新苑,120.520607,36.110088,2
美誉天城,120.399989,36.311502,24
1金岭新村,120.462654,36.108711,74
1正恒泰改衣店,120.459588,36.107692,26
1车宋社区,120.44857,36.122572,27
1左岸风度小区,120.420848,36.125574,34
1东韩小区,120.438103,36.126179,17
2崂山区中韩街道,120.433346,36.127647,35
中韩街道董家下庄221,120.461221,36.131227,12
2财富大厦,120.45235,36.10785,3
2浮山后二小区,120.4166,36.106703,5
保利叶公馆,120.401059,36.114441,15
2西韩新苑,120.427685,36.124186,12
郑张村社区,120.47827,36.141036,10
国际名都,120.455787,36.114124,4
2孙家下庄,120.466286,36.130542,2
1青特花溪地一期,120.333365,36.251226,266
龙湖滟澜海岸二期,120.324997,36.250081,9
A溪景海岸,120.280239,36.281232,9
1青特花溪地二期,120.33394,36.25043,31
星河湾,120.355971,36.223399,7
龙湖大方居1,120.333701,36.247955,2
卓越蔚蓝群岛四期,120.330053,36.261482,5
A海德花园,120.289406,36.253064,43
A领秀珊瑚湾二期,120.297642,36.285417,14
1世茂公园美地小区,120.304413,36.28197,5
1正商蓝海港湾,120.357971,36.099761,1
金茂悦西区,120.315976,36.289701,4
卓越蔚蓝群岛三期,120.333247,36.259032,4
天泰城迦南美地,120.42198,36.22016,35
湘潭路市场,120.401551,36.22411,33
1中南世纪城一期,120.40229,36.204639,110
1龙泽书苑,120.50624,36.163528,36
王埠景苑,120.430805,36.195971,4
上王埠花园,120.430753,36.187863,4
天泰城美立方,120.421136,36.225564,6
罗圈涧小区,120.427947,36.159809,3
以琳美地,120.420161,36.224917,34
沙子口中北崂小区,120.531785,36.123404,12
A青岛印象湾,120.418089,36.218068,7
1湖畔雅居石沟,120.40852,36.190616,6
上流家园B区琴惠佳超市,120.502094,36.189529,12
嘉凯城时代城,120.42987,36.20136,9
湖山美地,120.423896,36.18584,2
2北龙口社区宁家福超市,120.509251,36.167183,3
金水龙泽苑小区,120.408748,36.187352,3
华胥美邦市场,120.420241,36.228825,2
百通青山绿水,120.425849,36.196155,3
2金域府邸,120.36429,36.127239,59
1绿地阅海府邸,120.355594,36.152653,42
2紫荆苑小区,120.362937,36.128013,12
中惠景园,120.484117,36.382699,3
1渤海湾花园,120.399638,36.251016,22
桃源居1,120.39631,36.307064,28
怡景苑小区,120.43901,36.381725,5
金日紫都,120.391895,36.324334,18
润发家园北门,120.419739,36.375915,11
2鑫合佳苑,120.421273,36.391745,10
1金华苑小区,120.371528,36.128401,7
2世纪花苑北区,120.431915,36.396114,14
闻馨苑,120.428228,36.383561,14
海情御园,120.370086,36.136936,9
阳光城,120.419296,36.3855,13
后桃林社区,120.415255,36.290981,6
城南小学,120.459035,36.378046,2
江南花园,120.42725,36.3905,5
美青科技工业园,120.353494,36.133528,12
1保利百合花园,120.361455,36.132854,45
万科未来城,120.373779,36.143127,9
1雍翠华苑,120.368052,36.12474,17
小村庄小区,120.365347,36.105726,19
1北岭山海信小区,120.364645,36.119153,34
康顺社区美味屋,120.35964,36.099314,17
瑞昌路筑港宿舍,120.365759,36.111534,5
嘉定路社区,120.363647,36.111505,7
2山海景园,120.360565,36.131771,5
1南公司,120.353139,36.111212,32
2瑞昌路社区,120.369424,36.106378,9
2金科星辰,120.358175,36.119568,12
杏杭社区2,120.435392,36.236786,5
2人民二路鑫家超市,120.358177,36.108016,3
A盛泰家园B区东发达超市,120.453325,36.262089,7
